    0.397379899024963379E+01    0.605052328109741211E+01    0.507256817817687988E+02    0.622145414352416992E+00    0.458617329597473145E+00   -0.595916197831814177E+06   -0.760090241787552312E+01    1
    0.399396371841430664E+01    0.161261987686157227E+01    0.514379096031188965E+02    0.168246716260910034E+00    0.860904693603515569E-01   -0.595861474767246400E+06   -0.760140241787544646E+01    1
    0.398324227333068848E+01    0.523560094833374023E+01    0.877438068389892578E+02    0.532126790285110451E+00    0.288150000572204579E+00   -0.595594452315690462E+06   -0.760190241787540621E+01    1
    0.398491835594177246E+01    0.712334966659545898E+01    0.545620083808898926E+02    0.457733565568923917E+00    0.427837729454040527E+00   -0.595488332198222401E+06   -0.760240241787539794E+01    1
    0.398210477828979492E+01    0.678810214996337891E+01    0.812775421142578125E+02    0.260046464204788219E+00    0.377555322647094738E+00   -0.592818458736085100E+06   -0.760290241787547671E+01    1
    0.397271251678466797E+01    0.557706594467163086E+01    0.850399565696716309E+02    0.291762685775756814E+00    0.527862310409545898E-01   -0.591269762776811258E+06   -0.760340241787553950E+01    1
    0.396920442581176758E+01    0.691260290145874023E+01    0.821921801567077637E+02    0.144253051280975320E+00    0.255910062789916959E+00   -0.590653421037862659E+06   -0.760390241787554544E+01    1
    0.398552274703979492E+01    0.698940563201904297E+01    0.650575017929077148E+02    0.262991499900817827E+00    0.193683028221130371E+00   -0.588620886836274294E+06   -0.760440241787551496E+01    1
    0.395376920700073242E+01    0.653453636169433594E+01    0.525242066383361816E+02    0.598129886388778620E+00    0.272467482089996327E+00   -0.587915858825133182E+06   -0.760490241787542143E+01    1
    0.394701743125915527E+01    0.712033033370971680E+01    0.521730470657348633E+02    0.178798025846481301E+00    0.746222734451293945E-01   -0.587446479107597494E+06   -0.760540241787541049E+01    1
    0.395370531082153320E+01    0.651228189468383789E+01    0.856777954101562500E+02    0.275492620468139604E+00    0.545808684825897172E+00   -0.585023810719705070E+06   -0.760590241787546884E+01    1
    0.399657130241394043E+01    0.463722991943359375E+01    0.651339030265808105E+02    0.509409397840499878E+00    0.171241199970245367E+00   -0.584513934872721205E+06   -0.760640241787542148E+01    1
    0.396693468093872070E+01    0.740723562240600586E+01    0.623690533638000488E+02    0.444907838106155362E+00    0.578167390823364213E+00   -0.584365208434095257E+06   -0.760690241787538035E+01    1
    0.399908924102783203E+01    0.389401197433471680E+01    0.626900315284729004E+02    0.270344889163970925E+00    0.270352041721343972E+00   -0.582485049483695300E+06   -0.760740241787540672E+01    1
    0.392750453948974609E+01    0.605657720565795898E+01    0.515964555740356445E+02    0.417797404527664173E+00    0.157862234115600575E+00   -0.580220544616663479E+06   -0.760790241787540200E+01    1
    0.398483633995056152E+01    0.101039886474609375E+01    0.586223101615905762E+02    0.653437101840972812E+00    0.308445596694946256E+00   -0.579608851746603730E+06   -0.760840241787544080E+01    1
    0.392988252639770508E+01    0.733318567276000977E+01    0.560903835296630859E+02    0.606769561767578125E+00    0.120977282524108887E+00   -0.579537823593843379E+06   -0.760890241787543875E+01    1
    0.399718642234802246E+01    0.365174770355224609E+01    0.764602422714233398E+02    0.279151582717895475E+00    0.387629306316375710E+00   -0.579230321599503513E+06   -0.760940241787537186E+01    1
    0.392753648757934570E+01    0.696015357971191406E+00    0.505676627159118652E+02    0.394253182411193837E+00    0.552745699882507338E-01   -0.578805226881635841E+06   -0.760990241787539112E+01    1
    0.395555329322814941E+01    0.556236076354980469E+01    0.588878226280212402E+02    0.234624862670898410E+00    0.332412350177764881E+00   -0.576590138296117773E+06   -0.761040241787548677E+01    1
    0.387806296348571777E+01    0.786427927017211914E+01    0.891682028770446777E+02    0.403067886829376193E-01    0.296619772911071777E+00   -0.576045944773207884E+06   -0.761090241787548649E+01    1
    0.393695878982543945E+01    0.443762207031250000E+01    0.542243862152099609E+02    0.398402601480484009E+00    0.242324781417846663E+00   -0.575161835700532654E+06   -0.761140241787539296E+01    1
    0.399143671989440918E+01    0.233317899703979492E+01    0.775629138946533203E+02    0.234832686185836775E+00    0.182769584655761708E+00   -0.574927282639315352E+06   -0.761190241787538380E+01    1
    0.395161652565002441E+01    0.599919605255126953E+01    0.678831791877746582E+02    0.258642852306365967E+00    0.305465447902679432E+00   -0.573430750158833456E+06   -0.761240241787547500E+01    1
    0.393060231208801270E+01    0.662585544586181641E+01    0.712463283538818359E+02    0.421293896436691240E+00    0.232194578647613503E+00   -0.572894537058315123E+06   -0.761290241787552002E+01    1
    0.390699386596679688E+01    0.123683309555053711E+01    0.508836483955383301E+02    0.629280799627303988E+00    0.426424062252044656E+00   -0.572293922472459381E+06   -0.761340241787543359E+01    1
    0.395950579643249512E+01    0.420204162597656250E+00    0.583724641799926758E+02    0.229312366247177102E+00    0.533259308338165261E+00   -0.572167985038470244E+06   -0.761390241787542088E+01    1
    0.390600514411926270E+01    0.480847072601318359E+01    0.512968730926513672E+02    0.275712960958480802E+00    0.215142846107482903E-01   -0.571903636600167723E+06   -0.761440241787540817E+01    1
    0.399656915664672852E+01    0.271078109741210938E+00    0.746835875511169434E+02    0.237931346893310525E+00    0.833781123161315835E-01   -0.571821637754367781E+06   -0.761490241787538835E+01    1
    0.391334486007690430E+01    0.688428592681884766E+01    0.560680437088012695E+02    0.507739299535751365E+00    0.539520084857940674E+00   -0.571570455820486648E+06   -0.761540241787541383E+01    1
    0.398348712921142578E+01    0.177722454071044922E+01    0.688737869262695312E+02    0.500266999006271362E+00    0.405916821956634533E+00   -0.571096268810299574E+06   -0.761590241787537625E+01    1
    0.398230171203613281E+01    0.125588035583496094E+01    0.850603818893432617E+02    0.354977792501449563E+00    0.555306279659271262E+00   -0.570315134829081362E+06   -0.761640241787545325E+01    1
    0.395914101600646973E+01    0.221147823333740234E+01    0.874410653114318848E+02    0.457987451553344693E+00    0.584916687011718728E+00   -0.569167168870564667E+06   -0.761690241787554800E+01    1
    0.392720770835876465E+01    0.359741735458374023E+01    0.882463407516479492E+02    0.504763972759246782E+00    0.417023706436157215E+00   -0.569003294026503689E+06   -0.761740241787551398E+01    1
    0.386181640625000000E+01    0.771110486984252930E+01    0.837714743614196777E+02    0.470444470643997137E+00    0.473613345623016324E+00   -0.567459212556568440E+06   -0.761790241787549149E+01    1
    0.389156365394592285E+01    0.751415729522705078E+01    0.782292222976684570E+02    0.803467571735382025E-01    0.238447058200836171E+00   -0.567208407672776375E+06   -0.761840241787545835E+01    1
    0.395799493789672852E+01    0.178914165496826172E+01    0.805762958526611328E+02    0.335658591985702470E+00    0.199569225311279283E-01   -0.567163804582953569E+06   -0.761890241787545452E+01    1
    0.393816375732421875E+01    0.275731897354125977E+01    0.843282294273376465E+02    0.552258843183517367E+00    0.366153645515441883E+00   -0.566174389740266488E+06   -0.761940241787546935E+01    1
    0.392139458656311035E+01    0.561608982086181641E+01    0.769711065292358398E+02    0.170262533426284779E+00    0.210973262786865234E+00   -0.566037740137275076E+06   -0.761990241787544242E+01    1
    0.394944453239440918E+01    0.364845228195190430E+01    0.661761856079101562E+02    0.994331836700439453E-01    0.346463119983673073E+00   -0.564063177699747030E+06   -0.762040241787548833E+01    1
    0.396129631996154785E+01    0.230687141418457031E+00    0.809556174278259277E+02    0.514541190862655595E+00    0.219053900241851812E+00   -0.564060049657076830E+06   -0.762090241787555822E+01    1
    0.391614341735839844E+01    0.622547674179077148E+01    0.633674335479736328E+02    0.203822630643844593E+00    0.453338241577148415E+00   -0.563424442126125679E+06   -0.762140241787555173E+01    1
    0.387255907058715820E+01    0.766136837005615234E+01    0.719579005241394043E+02    0.439539682865142778E+00    0.134269559383392328E+00   -0.562886899597394513E+06   -0.762190241787554434E+01    1
    0.395442962646484375E+01    0.179913234710693359E+01    0.657106685638427734E+02    0.852997243404388372E-01    0.561269402503967285E+00   -0.561602598558418103E+06   -0.762240241787544903E+01    1
    0.393149828910827637E+01    0.331119537353515625E+00    0.598956084251403809E+02    0.323967278003692641E-01    0.254957377910614014E+00   -0.561240058380738599E+06   -0.762290241787535283E+01    1
    0.394911980628967285E+01    0.786394119262695312E+00    0.641574382781982422E+02    0.514337122440338135E-01    0.591713976860046342E+00   -0.560652979147154721E+06   -0.762340241787540673E+01    1
    0.392380952835083008E+01    0.286258316040039062E+01    0.767052149772644043E+02    0.486867994070053045E+00    0.343487977981567355E-01   -0.559815087374906056E+06   -0.762390241787548195E+01    1
    0.388316607475280762E+01    0.722352790832519531E+01    0.618168759346008301E+02    0.336435687541961626E+00    0.430580163002014127E+00   -0.559226920287850662E+06   -0.762440241787551276E+01    1
    0.389871311187744141E+01    0.482678699493408203E+01    0.594928646087646484E+02    0.420093727111816362E+00    0.435554981231689453E-02   -0.559059911154611153E+06   -0.762490241787549827E+01    1
    0.388667225837707520E+01    0.417516613006591797E+01    0.888922667503356934E+02    0.405086624622344960E+00    0.486652314662933350E+00   -0.558484859198142891E+06   -0.762540241787549622E+01    1
    0.385900259017944336E+01    0.759583997726440430E+01    0.676096701622009277E+02    0.665743499994277954E+00    0.378423285484313976E+00   -0.556474935396234971E+06   -0.762590241787551637E+01    1
    0.388041234016418457E+01    0.597973346710205078E+01    0.686710619926452637E+02    0.458665204048156694E+00    0.194564223289489746E+00   -0.554923236570456997E+06   -0.762640241787551609E+01    1
    0.393207955360412598E+01    0.312034416198730469E+01    0.775671315193176270E+02    0.188065469264984131E-01    0.525812208652496338E+00   -0.554861254619285115E+06   -0.762690241787551404E+01    1
    0.388749551773071289E+01    0.556431055068969727E+01    0.664940285682678223E+02    0.344571471214294434E+00    0.117064404487609852E+00   -0.554731351346911280E+06   -0.762740241787547824E+01    1
    0.386172699928283691E+01    0.328428602218627930E+01    0.534183549880981445E+02    0.325753867626190144E-01    0.183102393150329584E+00   -0.553167434030128177E+06   -0.762790241787544154E+01    1
    0.390745544433593750E+01    0.343825817108154297E+00    0.878398633003234863E+02    0.310724484920501698E+00    0.148298156261444075E+00   -0.551494978320410242E+06   -0.762840241787549544E+01    1
    0.391220378875732422E+01    0.891076087951660156E+00    0.815025281906127930E+02    0.615683901309966974E+00    0.371045958995819103E+00   -0.551227774889111752E+06   -0.762890241787545342E+01    1
    0.389232325553894043E+01    0.323191595077514648E+01    0.743784618377685547E+02    0.679569333791732788E+00    0.217228031158447271E+00   -0.551048064826524002E+06   -0.762940241787542117E+01    1
    0.384255146980285645E+01    0.481221628189086914E+01    0.866252398490905762E+02    0.564889472723007158E+00    0.341702878475189209E+00   -0.550613594294710667E+06   -0.762990241787545109E+01    1
    0.381338739395141602E+01    0.485382175445556641E+01    0.500373244285583496E+02    0.366983115673065186E-01    0.456692075729370095E+00   -0.549203341183551587E+06   -0.763040241787542950E+01    1
    0.384239864349365234E+01    0.761491250991821289E+01    0.674945664405822754E+02    0.215450483560562123E+00    0.261589837074279796E+00   -0.548869884460113361E+06   -0.763090241787541945E+01    1
    0.382069277763366699E+01    0.647639083862304688E+01    0.524048614501953125E+02    0.351769524812698353E+00    0.588110983371734619E+00   -0.548630862829058198E+06   -0.763140241787543339E+01    1
    0.384162330627441406E+01    0.689584350585937500E+01    0.654049181938171387E+02    0.436526638269424394E+00    0.465559959411621094E-02   -0.548389272665176191E+06   -0.763190241787543133E+01    1
    0.384551072120666504E+01    0.269083166122436523E+01    0.543049311637878418E+02    0.769733071327209362E-01    0.242918944358825661E+00   -0.546464486507344758E+06   -0.763240241787543461E+01    1
    0.382694983482360840E+01    0.641184616088867188E+01    0.806965899467468262E+02    0.528752088546752888E-01    0.119140899181365958E+00   -0.545387171541303629E+06   -0.763290241787541479E+01    1
    0.383663892745971680E+01    0.625145006179809570E+01    0.664281392097473145E+02    0.589979708194732666E+00    0.117801189422607422E+00   -0.544549438167088898E+06   -0.763340241787540297E+01    1
    0.382569313049316406E+01    0.247175550460815430E+01    0.529367446899414062E+02    0.247191697359085055E+00    0.574534499645233177E+00   -0.544374886382105295E+06   -0.763390241787549595E+01    1
    0.385680031776428223E+01    0.154172277450561523E+01    0.876441693305969238E+02    0.638279169797897339E+00    0.287238228321075428E+00   -0.542643814629191998E+06   -0.763440241787550722E+01    1
    0.383983874320983887E+01    0.330483913421630859E+01    0.847794270515441895E+02    0.540802347660064631E+00    0.159007787704467773E+00   -0.542489176781188347E+06   -0.763490241787542612E+01    1
    0.385310387611389160E+01    0.503484582901000977E+01    0.667472743988037109E+02    0.331750833988189664E+00    0.169278895854949957E+00   -0.542403879003767855E+06   -0.763540241787542229E+01    1
    0.386505842208862305E+01    0.229432725906372070E+01    0.615022397041320801E+02    0.608549350500106723E+00    0.330733788013458263E+00   -0.542332851621123264E+06   -0.763590241787549751E+01    1
    0.384190750122070312E+01    0.514794826507568359E+01    0.598920655250549316E+02    0.434606033563613880E+00    0.383807265758514371E+00   -0.542056794303729082E+06   -0.763640241787548302E+01    1
    0.382805371284484863E+01    0.707092666625976562E+01    0.645618247985839844E+02    0.703220367431640625E-01    0.166731047630310047E+00   -0.541681705016350606E+06   -0.763690241787539215E+01    1
    0.382511878013610840E+01    0.719597673416137695E+01    0.647453355789184570E+02    0.234454214572906466E+00    0.333099639415740945E+00   -0.541458123597091762E+06   -0.763740241787541319E+01    1
    0.385765910148620605E+01    0.156246852874755859E+01    0.891633677482604980E+02    0.561444592475891069E+00    0.473188018798828103E+00   -0.541377938653261983E+06   -0.763790241787545110E+01    1
    0.389138245582580566E+01    0.104989337921142578E+01    0.778457951545715332E+02    0.636273741722106906E-01    0.238320529460906982E+00   -0.540564510553770815E+06   -0.763840241787547480E+01    1
    0.388020634651184082E+01    0.224300146102905273E+01    0.682024359703063965E+02    0.687424361705780002E-01    0.291849946975707986E+00   -0.540178071094448562E+06   -0.763890241787551538E+01    1
    0.377233028411865234E+01    0.745380592346191406E+01    0.512711668014526367E+02    0.146958762407302851E+00    0.282406139373779286E+00   -0.539191611474304693E+06   -0.763940241787543606E+01    1
    0.382902050018310547E+01    0.564754152297973633E+01    0.656530475616455078E+02    0.388915985822677612E+00    0.328251242637634250E-01   -0.538983446467695292E+06   -0.763990241787539226E+01    1
