    0.397348022460937500E+01    0.748958158493041992E+01    0.898388719558715820E+02    0.156317579746246327E+00    0.330068349838256836E+00   -0.616104722023010254E+00   -0.606833061836460722E+06   -0.760090241787552312E+01    1
    0.397532224655151367E+01    0.763054227828979492E+01    0.746469426155090332E+02    0.430124163627624498E-01    0.388208508491516113E+00   -0.957545042037963867E-01   -0.595203034925237997E+06   -0.760140241787544646E+01    1
    0.397763013839721680E+01    0.792311429977416992E+01    0.590894365310668945E+02    0.200921905040740950E+00    0.475538313388824463E+00   -0.163327932357788086E+00   -0.594249325245792395E+06   -0.760190241787540621E+01    1
    0.398171710968017578E+01    0.675632476806640625E+01    0.559382724761962891E+02    0.611069810390472368E+00    0.303069472312927246E+00   -0.197923290729522705E+01   -0.591945129750186577E+06   -0.760240241787539794E+01    1
    0.392452335357666016E+01    0.703864049911499023E+01    0.832250857353210449E+02    0.574265646934509211E+00    0.908925354480743408E+00   -0.321719527244567871E+00   -0.590461570628052577E+06   -0.760290241787547671E+01    1
    0.397648143768310547E+01    0.682853031158447266E+01    0.610438990592956543E+02    0.153808718919754006E+00    0.247007489204406738E+00   -0.425578236579895020E+00   -0.586582529706413159E+06   -0.760340241787553950E+01    1
    0.396137976646423340E+01    0.511442232131958008E+01    0.831065773963928223E+02    0.625640487670898415E+00    0.253380894660949707E+00   -0.947623729705810547E+00   -0.585188025348557509E+06   -0.760390241787554544E+01    1
    0.397412633895874023E+01    0.436994695663452148E+01    0.559605884552001953E+02    0.597595661878585815E+00    0.433043241500854492E-01   -0.184105944633483887E+01   -0.584134680514350650E+06   -0.760440241787551496E+01    1
    0.398501229286193848E+01    0.399128437042236328E+01    0.659834218025207520E+02    0.251795399188995350E+00    0.583241164684295654E+00   -0.451502799987792969E-01   -0.581307926271605305E+06   -0.760490241787542143E+01    1
    0.396157312393188477E+01    0.469802522659301758E+01    0.856345963478088379E+02    0.287806361913681030E+00    0.479206264019012451E+00   -0.739034652709960938E+00   -0.580787832343554823E+06   -0.760540241787541049E+01    1
    0.397855329513549805E+01    0.551584100723266602E+01    0.869823813438415527E+02    0.897637784481048473E-01    0.870763063430786133E+00   -0.985057592391967773E+00   -0.580572858529250836E+06   -0.760590241787546884E+01    1
    0.390647935867309570E+01    0.539058828353881836E+01    0.867828369140625000E+02    0.564516341686248757E+00    0.611281573772430420E+00   -0.281755328178405762E+00   -0.579004282469184021E+06   -0.760640241787542148E+01    1
    0.393866276741027832E+01    0.169323873519897461E+01    0.519162225723266602E+02    0.609970861673355014E+00    0.702311456203460693E+00   -0.500856637954711914E+00   -0.578250813227227656E+06   -0.760690241787538035E+01    1
