Nested Sampling Global Log-Evidence           :   -0.101357656551614491E+04  +/-    0.909779507806209031E-01
Nested Importance Sampling Global Log-Evidence:   -0.101334157995097337E+04  +/-    0.642386005809040928E+00

Dim No.       Mean        Sigma
   1    0.133627340123604138E+00    0.361527778694096949E-02
   2    0.244438717492947744E+01    0.468450724432235566E-01
   3    0.714932221526192393E+02    0.221718922967993115E+00
   4    0.173347560795940603E+00    0.627235500682205571E-01
   5    0.588171764433360833E+00    0.232098654893607897E+00
   6   -0.841114902266720366E+00    0.295165009976251724E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134748556345094722E+00
   2    0.243314658964132491E+01
   3    0.716356491854265442E+02
   4    0.185567709475006198E+00
   5    0.754843336233295137E+00
   6   -0.673816997751269797E+00

MAP Parameters
Dim No.        Parameter
   1    0.134748556345094722E+00
   2    0.243314658964132491E+01
   3    0.716356491854265442E+02
   4    0.185567709475006198E+00
   5    0.754843336233295137E+00
   6   -0.673816997751269797E+00
