    0.127313576826411747E+02    0.247510267271981128E+02    0.234417621100114900E+03
    0.610647899839949027E+01    0.185035235025937936E+02    0.235491744960138021E+03
    0.652159389172152348E+01    0.658215425562613810E+01    0.235730029676876342E+03
    0.313240283081252890E+02    0.184825527329225920E+02    0.235865370815663141E+03
    0.122030156209059353E+02    0.125099609258859061E+02    0.236252297580698581E+03
    0.185182856141603871E+02    0.189586523343316387E+02    0.236924640069449424E+03
    0.311778691985392449E+02    0.191001160855518215E+02    0.237042062972418705E+03
    0.649943212101430223E+01    0.311471920632029153E+02    0.237064567987366928E+03
    0.595697377147940887E+01    0.313185186095753352E+02    0.237206895677406919E+03
    0.128974658289968165E+02    0.124964595316829161E+02    0.237273673609967773E+03
    0.619046826905840497E+01    0.185251676156470566E+02    0.237309176643510881E+03
    0.122898266691184936E+02    0.249401626408742132E+02    0.237330062267058736E+03
    0.661350232511229663E+01    0.189015810789918319E+02    0.237405968810076047E+03
    0.313577559105984989E+02    0.185203724912927115E+02    0.237409745292363255E+03
    0.189255804082236203E+02    0.310978441001791310E+02    0.237647648991528342E+03
    0.603048512373973189E+01    0.312088591671958326E+02    0.237667534698333924E+03
    0.128795818548303842E+02    0.250884807678860113E+02    0.237987682961939441E+03
    0.254448900901228363E+02    0.250851414173592389E+02    0.238005532745023459E+03
    0.128666702624209659E+02    0.250375650813855799E+02    0.238031022207683321E+03
    0.649341473294368399E+01    0.604930026986735392E+01    0.238054497627963514E+03
    0.127311143874976498E+02    0.123009239124744365E+02    0.238116696358922525E+03
    0.600081306204408715E+01    0.187220138208675273E+02    0.238193601639309207E+03
    0.300897453327899522E+00    0.124967341159206136E+02    0.238220446454125096E+03
    0.188719388843690439E+02    0.597618489277146736E+01    0.238250501921680097E+03
    0.248289678407116909E+02    0.125676825223352413E+02    0.238372950641649396E+03
    0.128468044357538620E+02    0.114352806966156087E+00    0.238405039499234391E+03
    0.127697091371012625E+02    0.249111529357675821E+02    0.238472367076473716E+03
    0.248979006522054931E+02    0.127510580550478387E+02    0.238530796722163615E+03
    0.251269216264419875E+02    0.254310803411542707E+02    0.238533913042535545E+03
    0.248496584769430200E+02    0.126582706449741256E+02    0.238559500352601304E+03
    0.185873696577857928E+02    0.642202673246905942E+01    0.238590166484041475E+03
    0.612764602973514183E+01    0.186010873124087865E+02    0.238694746991515615E+03
    0.311968049156890714E+02    0.608982946955966753E+01    0.238722273678161372E+03
    0.250439412883567911E+02    0.254107729514796645E+02    0.238727981251722923E+03
    0.288904825684114186E+00    0.126064271557712093E+02    0.238731803456458010E+03
    0.251132971774998524E+02    0.128569075032012954E+02    0.238745344724344903E+03
    0.127787772646814339E+02    0.123679486452603733E+02    0.238767601845283878E+03
    0.190713058744538166E+02    0.312283391243074675E+02    0.238773668088299161E+03
    0.123106289888438223E+02    0.249955245616271711E+02    0.238778058172759103E+03
    0.653338527144236725E+01    0.189932492014891601E+02    0.238827286677627995E+03
    0.253433670187125273E+02    0.127614448221515726E+02    0.238870260697017983E+03
    0.128051617111384513E+02    0.158396148562108319E+00    0.238884451362902695E+03
    0.191320273891719062E+02    0.627799679946714839E+01    0.238992684039207262E+03
    0.603219571673895594E+01    0.187196468034509209E+02    0.238994348574981984E+03
    0.254085131471090939E+02    0.250737129335776210E+02    0.239007845194847420E+03
    0.122861231033927467E+02    0.251395320829666353E+02    0.239054052682370070E+03
    0.648552660272356718E+01    0.190435685777569645E+02    0.239060535252034555E+03
    0.614051266534659845E+01    0.190907020349802785E+02    0.239062834126173385E+03
    0.190184794915523732E+02    0.311927950518046231E+02    0.239072988234447791E+03
    0.189551310663304982E+02    0.311584764135635517E+02    0.239114792346067532E+03
    0.312644105686244878E+02    0.311836258040566356E+02    0.239142077058806365E+03
    0.311603212909028144E+02    0.638149198712268184E+01    0.239235349838802478E+03
    0.311441046869907865E+02    0.188348762070726146E+02    0.239277432908079192E+03
    0.127983572089306943E+02    0.252747268609848170E+02    0.239288106308161076E+03
    0.655077483729774990E+01    0.188875990663656310E+02    0.239330203889266897E+03
    0.123001297419724764E+02    0.251644225189875002E+02    0.239388089838400589E+03
    0.127764995173458846E+02    0.252976216138451484E+02    0.239420131103624755E+03
    0.126733023070165611E+02    0.244208090840049574E+00    0.239431327440003969E+03
    0.186446332996494455E+02    0.645336056828324267E+01    0.239439490497170624E+03
    0.126314851580755256E+02    0.248758566749819394E+02    0.239471677439859377E+03
    0.190307571350946390E+02    0.609060329448633908E+01    0.239490941661314906E+03
    0.127402341491826530E+02    0.123680799381689219E+02    0.239509480723379369E+03
    0.189530146283560725E+02    0.604144090721045046E+01    0.239527279302367788E+03
    0.187704487888240443E+02    0.653374115590157167E+01    0.239531694418366754E+03
    0.128239810187497643E+02    0.425452129506031923E-01    0.239573626127888303E+03
    0.313111634591590828E+02    0.311768450867121274E+02    0.239577633557607612E+03
    0.126100714395905218E+02    0.128229806112980569E+02    0.239594351742587463E+03
    0.248811037731029963E+02    0.126262478921490882E+02    0.239637293008840658E+03
    0.609163373646374406E+01    0.645682095420586499E+01    0.239644217853133824E+03
    0.311800429169994722E+02    0.638872955386094166E+01    0.239645220976621829E+03
    0.611834385668683289E+01    0.186518471963534012E+02    0.239672987775392528E+03
    0.248804206676583100E+02    0.126144625438232048E+02    0.239683304845576458E+03
    0.312739178062677716E+02    0.312039605055818292E+02    0.239730533312781830E+03
    0.253019721465714049E+02    0.249420171651534552E+02    0.239735159418100864E+03
    0.138952409510297359E+00    0.123545455075905544E+02    0.239776241901536736E+03
    0.249180756422641743E+02    0.127001313067467976E+02    0.239786278697854073E+03
    0.189852748009303269E+02    0.312032277194602194E+02    0.239801943861951941E+03
    0.311639074953802364E+02    0.314147055988539812E+02    0.239805730974351064E+03
    0.127476425470114734E+02    0.123916154651410491E+02    0.239815718972408121E+03
    0.123167596455992889E+02    0.251010525659267110E+02    0.239816247261117752E+03
    0.235037600780054839E+00    0.124790113469094397E+02    0.239839502634418039E+03
    0.125668390267348062E+02    0.250414445671471586E+00    0.239846074966818776E+03
    0.127098732797094609E+02    0.127711182320705792E+02    0.239859318160576265E+03
