    0.113087773323059082E+01   -0.287269986374227182E+01
    0.930789828300476074E+00   -0.284559545030861605E+01
    0.929942369461059570E+00   -0.258825526115759397E+01
    0.705810785293579102E-01   -0.243289251892366787E+01
    0.112818099122842730E+01   -0.207636914952809315E+01
    0.112786051458637515E+01   -0.198656918153272444E+01
    0.107368373937136341E+01   -0.156825568381630132E+01
    0.739060640335083008E-01   -0.150999528756148327E+01
    0.107444577448003864E+01   -0.137062002606988131E+01
    0.474456614737717997E+00   -0.136785046972087931E+01
    0.925166964530944824E+00   -0.127240833495380490E+01
    0.749667773823358696E-01   -0.123883898957229288E+01
    0.112466514122045491E+01   -0.114737377356953441E+01
    0.475617720052755988E+00   -0.107800569355460985E+01
    0.574201676768788971E+00   -0.103413360852862368E+01
    0.112339349641996522E+01   -0.841806190199243742E+00
    0.107716774940490723E+01   -0.712086152630228564E+00
    0.572675356302160932E+00   -0.676386733549969144E+00
    0.922584980731538051E+00   -0.655934589664357026E+00
    0.572384908629321121E+00   -0.610948488108557508E+00
    0.107763528823852539E+01   -0.606429477313859988E+00
    0.112208920579186899E+01   -0.545192879022310395E+00
    0.107840975413944595E+01   -0.436221398040511577E+00
    0.478496074676513672E+00   -0.417621837955256259E+00
    0.478640317916870117E+00   -0.386707909820806994E+00
    0.791190492646317717E-01   -0.285598334509012453E+00
    0.107917983012148033E+01   -0.272925185296743145E+00
    0.107935283194027298E+01   -0.237055560877712179E+00
    0.179361343383789062E+00   -0.235298551053798571E+00
    0.220613220045941694E+00   -0.230052019756696619E+00
    0.520949125289916992E+00   -0.175927514667629625E+00
    0.120293828939395997E+00   -0.164725281551842240E+00
    0.179747343063354492E+00   -0.156378381411794748E+00
    0.112013958424659998E+01   -0.133542084574109876E+00
    0.920080542564392090E+00   -0.121668764846444163E+00
    0.529484629631042480E+00   -0.108988033604627235E+00
    0.111993062496185303E+01   -0.916768732948135961E-01
    0.529619216918945312E+00   -0.877356850534189714E-01
    0.119725942530503990E+00   -0.510918600282947999E-01
    0.919575214794778550E+00   -0.214729877532172410E-01
    0.219233510808148430E+00    0.448324935195538107E-01
    0.808705263025742971E-01    0.647883638528538863E-01
    0.480912685394287109E+00    0.728442895350910891E-01
    0.480914055469983670E+00    0.731057908082760333E-01
    0.108100593090057373E+01    0.905988787864475120E-01
    0.108107244968414307E+01    0.103211378758867281E+00
    0.481086373329162598E+00    0.105845814627561638E+00
    0.519192576408386230E+00    0.106066770594472434E+00
    0.218813019247633078E+00    0.124823717496302236E+00
    0.881327615825935995E+00    0.151182529836179885E+00
    0.481401085853576660E+00    0.164874146766123997E+00
    0.518788856968967926E+00    0.173190886888859363E+00
    0.568488836288452148E+00    0.185286847409626365E+00
    0.518659234046936035E+00    0.194767068564863338E+00
    0.568068981170654297E+00    0.262031781272387521E+00
    0.218017458915710449E+00    0.271328054658795836E+00
    0.217971324920654297E+00    0.279629586536714880E+00
    0.567947745323181152E+00    0.283864373098596967E+00
    0.217826331288051150E+00    0.305581747598608677E+00
    0.917744153782751981E+00    0.320197216225610148E+00
    0.567730045596416932E+00    0.322699599826621109E+00
    0.117676672946679522E+00    0.332148351236015160E+00
    0.111763966083526611E+01    0.338684011639273475E+00
    0.182407855987548828E+00    0.347054528781261862E+00
    0.108250377065497028E+01    0.363881977085951880E+00
    0.108258238288904374E+01    0.377605254435966153E+00
    0.217377226999364209E+00    0.384632092618203469E+00
    0.108263447469237106E+01    0.386664837505842518E+00
    0.917287111282348633E+00    0.400251101113840435E+00
    0.917237152180533366E+00    0.408875107081036582E+00
    0.482879766659428944E+00    0.428960236091375013E+00
    0.111705341507375011E+01    0.440377355167341056E+00
    0.108298313617706299E+01    0.446603911713436275E+00
    0.883008003234863281E+00    0.450832413223276163E+00
    0.483008265495300293E+00    0.450876976925746686E+00
    0.883010233383425547E+00    0.451211335127021107E+00
    0.517097280655775648E+00    0.451933161736234046E+00
    0.108312953487742969E+01    0.471409216296042155E+00
    0.916807173456952174E+00    0.482066785494979111E+00
    0.883220182258877440E+00    0.486660766428902603E+00
    0.883334517478942871E+00    0.505780645257056460E+00
    0.483546835328227842E+00    0.540939045969795473E+00
    0.916412767365068825E+00    0.547577520656025940E+00
    0.116350412368774414E+00    0.557792260410510332E+00
    0.116316115836307618E+00    0.563394003636325635E+00
    0.516390243531955617E+00    0.564683951173932219E+00
    0.116261221896176895E+00    0.572335495771852054E+00
    0.838119869340493429E-01    0.584213348438416880E+00
    0.838482569374743580E-01    0.590078163766136643E+00
    0.116134869330635243E+00    0.592802141971997765E+00
    0.566098268486251222E+00    0.598700943468437052E+00
    0.483924159288537437E+00    0.602308911857411866E+00
    0.183963097006214910E+00    0.608560895394997803E+00
    0.516096862745973661E+00    0.610520037273024063E+00
    0.215994506138062731E+00    0.615351050552733536E+00
    0.515972839595326693E+00    0.629713697373438297E+00
    0.515936966762977622E+00    0.635244450766998092E+00
    0.215673664923178604E+00    0.666153322934968650E+00
    0.565660578133831304E+00    0.668203647607578666E+00
    0.484347406871339259E+00    0.669453826785686434E+00
    0.915570139884948730E+00    0.682325903371010845E+00
    0.844330787658691406E-01    0.682827000007191653E+00
    0.184490242107291730E+00    0.691709234103230708E+00
    0.845027678342043509E-01    0.693651159552506336E+00
    0.484618573609042647E+00    0.711530796156441547E+00
    0.215268635555047771E+00    0.728816024991020273E+00
    0.515272672912711505E+00    0.735891972540673844E+00
    0.515251517295837402E+00    0.739040129456422168E+00
    0.515251517295837402E+00    0.739040129456422168E+00
    0.515167832374572754E+00    0.751457542817256408E+00
    0.884885668754577637E+00    0.752257138573606654E+00
    0.915077567100524902E+00    0.757807035201212398E+00
    0.108494353294372559E+01    0.760986182471966810E+00
    0.114999858807908001E+00    0.769493362269488834E+00
    0.515041232109069824E+00    0.770133617840706219E+00
    0.214984421054555869E+00    0.771807811854279269E+00
    0.485029101371765137E+00    0.773833156962305035E+00
    0.514948487281799316E+00    0.783730975067237878E+00
    0.535134091245931698E+00    0.795777208001708147E+00
    0.485184192657470703E+00    0.796931449760632571E+00
    0.885212955688257530E+00    0.801188786168183453E+00
    0.214762467747130315E+00    0.804819913630051231E+00
    0.214762467747130315E+00    0.804819913630051231E+00
    0.185269682626339999E+00    0.809560933911614322E+00
    0.111470425222282610E+01    0.813397016392945482E+00
    0.535273763351298504E+00    0.816020742521040621E+00
    0.885365125462345470E+00    0.823574419890915954E+00
    0.853657431575548520E-01    0.823664816902099806E+00
    0.914622513818794891E+00    0.825382631651129128E+00
    0.108539845338570884E+01    0.828446365908762195E+00
    0.535429542195419161E+00    0.838401937975739253E+00
    0.564497470855712891E+00    0.843588880144069297E+00
    0.485548019409179688E+00    0.850173471279014548E+00
    0.564436912536621094E+00    0.852349968336520547E+00
    0.485605239868164062E+00    0.858426590079462093E+00
    0.856587803874255399E-01    0.866119283674911089E+00
    0.514375014499359295E+00    0.866184486534047782E+00
    0.856678770118266958E-01    0.867423436814734439E+00
    0.857059955596923828E-01    0.872879368857693572E+00
    0.214224106505712802E+00    0.882846154126058935E+00
    0.485777380038458939E+00    0.883057593743531544E+00
    0.214206278380785597E+00    0.885380456393483839E+00
    0.514233877398080796E+00    0.886039073196567273E+00
    0.885820865631103516E+00    0.889232926299253101E+00
    0.914128710278069523E+00    0.896369912947229786E+00
    0.564089048877191024E+00    0.901965695486262597E+00
    0.859435796737670898E-01    0.906557421616694170E+00
    0.108595280488122636E+01    0.907853730030861783E+00
    0.213934561040609234E+00    0.923612226583041762E+00
    0.886086702346801758E+00    0.926572925622901944E+00
    0.513934168252235590E+00    0.927613602503591372E+00
    0.111387843471443060E+01    0.931417432941814338E+00
    0.861512414348336586E-01    0.935531614574022341E+00
    0.861687660217285156E-01    0.937957016746904682E+00
    0.108623170852661133E+01    0.946642933074415494E+00
    0.886268503468856883E+00    0.951702198631383389E+00
    0.886269686222477482E+00    0.951864601409237121E+00
    0.886269686222477482E+00    0.951864601409237121E+00
    0.913684368133544922E+00    0.958162527483467752E+00
    0.563650763062373050E+00    0.962755526676756790E+00
    0.111357253509490128E+01    0.973403639043740831E+00
    0.563517451286315918E+00    0.980864741491304315E+00
    0.213516821044660299E+00    0.980949927788507425E+00
    0.213516821044660299E+00    0.980949927788507425E+00
    0.186516619924628396E+00    0.985464492270722747E+00
    0.111345858256706465E+01    0.988804959982893417E+00
    0.866298146721094925E-01    0.100066290504466981E+01
    0.886638860348175628E+00    0.100187191957759314E+01
    0.866630801894901770E-01    0.100510503339551605E+01
    0.536670021243418782E+00    0.100894964270815590E+01
    0.213297367095947266E+00    0.101037232513345998E+01
    0.213297367095947266E+00    0.101037232513345998E+01
    0.108675134181976318E+01    0.101683746567157218E+01
    0.113233364407129652E+00    0.101886251589593502E+01
    0.867704346568842350E-01    0.101936518771651419E+01
    0.186811685562133789E+00    0.102481399499521042E+01
    0.186814904212951660E+00    0.102523842898716278E+01
    0.186814904212951660E+00    0.102523842898716278E+01
    0.108682239055633545E+01    0.102622523030656598E+01
    0.868793725967407227E-01    0.103371786627957163E+01
    0.213104791345770844E+00    0.103579440247441301E+01
    0.913089030762387344E+00    0.103785855206175537E+01
    0.913089030762387344E+00    0.103785855206175537E+01
    0.913031458854675293E+00    0.104537758414989090E+01
    0.887075059347587347E+00    0.105920172921341460E+01
    0.487126636382476663E+00    0.106585473537952358E+01
    0.111284663221968083E+01    0.106929238661666659E+01
    0.912761181370909558E+00    0.108023343364912083E+01
    0.212695121765136719E+00    0.108864160039712488E+01
    0.187313556671142578E+00    0.108974296187380726E+01
    0.187313556671142578E+00    0.108974296187380726E+01
    0.873692895642718681E-01    0.109679795299930527E+01
    0.187446063876191393E+00    0.110646562255202907E+01
    0.112447556698944781E+00    0.111976384468813883E+01
    0.112447556698944781E+00    0.111976384468813883E+01
    0.875554084777832031E-01    0.112013289278121220E+01
    0.875554084777832031E-01    0.112013289278121220E+01
    0.562410600418083773E+00    0.112435717739166829E+01
    0.111232604314195749E+01    0.113481548586838832E+01
    0.111228167847464565E+01    0.114027405278250282E+01
    0.877495968591936737E-01    0.114411029799397546E+01
    0.187777532411913306E+00    0.114752861384621330E+01
    0.512203430647785396E+00    0.115151661191171151E+01
    0.512203430647785396E+00    0.115151661191171151E+01
    0.112116456031799316E+00    0.116042964970273421E+01
    0.108789983343214280E+01    0.116240202870590803E+01
    0.887914177831018225E+00    0.116413669605410441E+01
    0.212082071684917300E+00    0.116458990255796335E+01
    0.512073242562141595E+00    0.116721455657614204E+01
    0.512073242562141595E+00    0.116721455657614204E+01
    0.488028482556004173E+00    0.117788604336582536E+01
    0.488028482556004173E+00    0.117788604336582536E+01
    0.111915496656080832E+00    0.118457688074999679E+01
    0.111915496656080832E+00    0.118457688074999679E+01
    0.561898231506347656E+00    0.118663262838180361E+01
    0.561898231506347656E+00    0.118663262838180361E+01
    0.511859859621527802E+00    0.119259154990509497E+01
    0.881631137441418883E-01    0.119391280238474962E+01
    0.488213181070794255E+00    0.119982669148241472E+01
    0.211766709299764794E+00    0.120219494482950862E+01
    0.538279808240959001E+00    0.120896400819872718E+01
    0.488345157319635903E+00    0.121529540501264544E+01
    0.188362465142720314E+00    0.121731109578336372E+01
    0.188362465142720314E+00    0.121731109578336372E+01
    0.884078741073608398E-01    0.122258527000138684E+01
    0.211507781234195585E+00    0.123232703888484463E+01
    0.911469725845323708E+00    0.123669912872093279E+01
    0.911469725845323708E+00    0.123669912872093279E+01
